timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 17:19:29.947,aeneas-pod-gu-105,Succeeded,minikube-m02,minikube,124,11
2024-06-11 17:19:31.098,mrleo-pod-gu-111,Running,minikube-m02,minikube-m02,83,0
2024-06-11 17:19:32.860,julius-pod-gu-310,Running,minikube,minikube-m02,81,11
2024-06-11 17:19:34.012,julius-pod-gu-310,Succeeded,minikube,minikube-m02,81,11
2024-06-11 17:19:34.926,julius-pod-gu-310,Succeeded,minikube,minikube-m02,81,11
2024-06-11 17:19:35.048,julius-pod-gu-354,Pending,minikube,minikube,43,0
2024-06-11 17:19:35.095,julius-pod-gu-354,Pending,minikube,minikube,43,0
2024-06-11 17:19:35.937,julius-pod-gu-354,Running,minikube,minikube,43,0
2024-06-11 17:19:40.090,julius-pod-gu-344,Running,minikube,minikube,122,0
2024-06-11 17:19:41.283,julius-pod-gu-344,Succeeded,minikube,minikube,122,0
2024-06-11 17:19:42.157,julius-pod-gu-344,Succeeded,minikube,minikube,122,0
2024-06-11 17:19:42.635,julius-pod-gu-370,Pending,minikube,minikube-m02,96,11
2024-06-11 17:19:42.689,julius-pod-gu-370,Pending,minikube,minikube-m02,96,11
2024-06-11 17:19:44.369,julius-pod-gu-370,Running,minikube,minikube-m02,96,11
2024-06-11 17:20:35.757,julius-pod-gu-351,Running,minikube,minikube,49,0
2024-06-11 17:20:36.952,julius-pod-gu-351,Succeeded,minikube,minikube,49,0
2024-06-11 17:20:37.671,julius-pod-gu-378,Pending,minikube,minikube-m02,61,11
2024-06-11 17:20:37.686,julius-pod-gu-378,Pending,minikube,minikube-m02,61,11
2024-06-11 17:20:37.809,julius-pod-gu-351,Succeeded,minikube,minikube,49,0
2024-06-11 17:20:38.873,julius-pod-gu-378,Running,minikube,minikube-m02,61,11
2024-06-11 17:20:43.015,julius-pod-gu-354,Running,minikube,minikube,43,0
2024-06-11 17:20:44.246,julius-pod-gu-354,Succeeded,minikube,minikube,43,0
2024-06-11 17:20:45.131,julius-pod-gu-354,Succeeded,minikube,minikube,43,0
2024-06-11 17:20:45.331,julius-pod-gu-380,Pending,minikube,minikube,100,0
